url,time,level,Date,Location,Result,name,parent,Belligerents.allies,Belligerents.axis,Commanders and leaders.allies,Commanders and leaders.axis,Strength.allies,Strength.axis,Casualties and losses.allies,Casualties and losses.axis,Territorialchanges,Commanders and leaders.total,Strength.total
https://en.wikipedia.org/wiki/Attack_on_Convoy_BN_7,October 1940,0,20–21 October 1940,"Red Sea, off Massawa, Italian Eritrea15°36′35″N 39°27′00″E﻿ / ﻿15.60972°N 39.45000°E﻿ / 15.60972; 39.45000Coordinates: 15°36′35″N 39°27′00″E﻿ / ﻿15.60972°N 39.45000°E﻿ / 15.60972; 39.45000",Allied victory,Attack on Convoy BN 7,Indian Ocean,"United Kingdom 
   British India 
   New Zealand 
   Australia",Italy,J. Rivett-Carnac J. S. M. Richardson H. E. Horan,Costantino Borsini    † Adriano M. D. Adimari Paolo Aloisi,1 light  cruiser 1  destroyer 3  sloops 2  minesweepers 32 ships of  Convoy BN 7,"4 destroyers 
 Shore battery on  Harmil Island",3 wounded 1 destroyer damaged 1 merchant ship damaged,14 killed 1 destroyer sunk,,,
https://en.wikipedia.org/wiki/Action_of_27_February_1941,,0,27 February 1941,"off Maldives, Indian Ocean1°0′N 68°30′E﻿ / ﻿1.000°N 68.500°E﻿ / 1.000; 68.500Coordinates: 1°0′N 68°30′E﻿ / ﻿1.000°N 68.500°E﻿ / 1.000; 68.500",New Zealand victory,Action of 27 February 1941,Indian Ocean,New Zealand,Italy,Robert Bevan,Alfredo Bonezzi,1  cruiser,1  auxiliary cruiser,1 cruiser slightly damaged,1 auxiliary cruiser sunk 1 killed 113 captured 1 died of wounds 4 wounded,,,
https://en.wikipedia.org/wiki/Action_of_8_May_1941,,0,,,,Action of 8 May 1941,Indian Ocean,United Kingdom,Germany,P. C. W. Manwaring,Ernst-Felix Krüder    †,1  heavy cruiser,1  auxiliary cruiser,1 killed 1 heavy cruiser slightly damaged,332 killed 60 captured 1 auxiliary cruiser sunk,,,
https://en.wikipedia.org/wiki/Japanese_occupation_of_the_Andaman_Islands,1942–1945,0,,,,Japanese occupation of the Andaman Islands,Indian Ocean,,,,,,,,,,,
https://en.wikipedia.org/wiki/Battle_of_Christmas_Island,March–April 1942,0,31 March − 1 April 1942,Christmas Island,Japanese victory,Battle of Christmas Island,Indian Ocean,"British Empire 
   India 
   United States",Japan,unknown,Shōji Nishimura,Land: 32  infantry Sea: 1  submarine,Land: 850 infantry Sea: 3  light cruisers 8  destroyers 1  oiler 2  troop transports Air: unknown  aircraft,27 captured,1 light cruiser damaged,Christmas Island occupied by Japanese forces,,
https://en.wikipedia.org/wiki/Indian_Ocean_raid,March–April 1942,0,31 March – 10 April 1942,Indian Ocean and Ceylon,Japanese victory,Indian Ocean raid,Indian Ocean,"United Kingdom 
 
   Ceylon 
   Australia   Netherlands   United States   Canada",Japan,James Somerville,Chūichi Nagumo [1]   Mitsuo Fuchida,3  carriers 5 battleships 7 cruisers 15 destroyers 7 submarines 100+ aircraft  30 smaller warships 50+ merchant ships,5  carriers 4 battleships 7 cruisers 19 destroyers 5 submarines  350 aircraft,1 light carrier sunk 2 heavy cruisers sunk 2 destroyers sunk 1 Armed Merchant Cruiser (AMC) sunk 1 corvette sunk 1 sloop sunk 23 merchant ships sunk 40+ aircraft destroyed,20+ aircraft destroyed,,,
https://en.wikipedia.org/wiki/Easter_Sunday_Raid,April 1942,0,5 April 1942,Indian Ocean and Ceylon,Japanese tactical victory,Easter Sunday Raid,Indian Ocean,Japan,"Ceylon 
 
   United Kingdom",,,,,7 aircraft [1],"27 aircraft  
Two heavy cruisers  
 
Many more killed on the ground. [2]",,,
https://en.wikipedia.org/wiki/Battle_of_Madagascar,May–November 1942,0,5 May – 6 November 1942 (1942-05-05 – 1942-11-06),"Madagascar, Indian Ocean12°16′S 49°17′E﻿ / ﻿12.267°S 49.283°E﻿ / -12.267; 49.283",Allied victory,Battle of Madagascar,Indian Ocean,"United Kingdom 
 
   India 
   Northern Rhodesia 
   Southern Rhodesia 
   Tanganyika 
   South Africa   Australia   (naval)   Netherlands   (naval)","Vichy France 
 
   Madagascar 
   Japan   (naval)",Robert Sturges   Edward Syfret,Armand Annet   Ishizaki Noboru,"10,000–15,000 soldiers 6 infantry tanks 6 light tanks 2 aircraft carriers 1 seaplane carrier 2 battleships 6 light cruisers 22 destroyers 8 corvettes 1 monitor 1 minelayer 4 minesweepers 5 assault transports","Vichy France : 8,000 soldiers [1] 6 tanks 35 aircraft [2] 4 warships [3]   Japanese Navy 2 soldiers  4 submarines  2 midget submarines","107 killed 280 wounded 108 died from disease [2] 1 battleship heavily damaged 1 oil tanker sunk
 
 Total : 620","152 killed 500 wounded (does not include any casualties caused by disease) [2] 1,000 captured [4] 1 midget submarine destroyed 1 midget submarine lost at sea",Free French administration established in Madagascar,,
https://en.wikipedia.org/wiki/Cocos_Island_Mutiny,May 1942,0,8 May 1942,Cocos (Keeling) Islands,British victory,Cocos Island Mutiny,Indian Ocean,United Kingdom,Sri Lankan  mutineers,Captain Gardiner,Gratien Fernando,26 men Six-inch (152 mm) guns,15 men 1  Bren light machine gun Six-inch (152 mm) and nine-inch (227 mm) guns,1 killed 1 wounded,3 executed 8 imprisoned,,,
https://en.wikipedia.org/wiki/Battle_of_La_R%C3%A9union,November 1942,0,28 November 1942,"Saint Denis, Réunion",Free French victory,Battle of La Réunion,Indian Ocean,Free France,Vichy France,Jules Evenou  André Capagorry,Pierre Aubert   Émile Hugot  ( WIA ),1 destroyer  ( Léopard ) 1 company of  Fusiliers Marins Local resistance,260 men,1+ killed,2+ killed 1+ wounded,,,
https://en.wikipedia.org/wiki/Indian_Ocean_raid_(1944),March 1944,0,1–16 March 1944,Indian Ocean,inconclusive,Indian Ocean raid (1944),Indian Ocean,Japan,United Kingdom,,,,,none,"1 steamer sunk, 3 killed, unknown wounded",,Rear Admiral  Naomasa Sakonju,3  heavy cruisers
